,MonthlyIncome,Passport,DurationOfPitch,Designation_Executive,ProductPitched_Deluxe,Designation_Manager,Age,NumberOfTrips,PreferredPropertyStar,Gender_Male,ProdTaken
1047,17632.0,0,32.0,0,1,1,33.0,1.0,5.0,1,0
1049,20301.0,0,22.0,0,1,1,30.0,1.0,3.0,1,0
1051,19768.0,0,10.0,0,1,1,44.0,1.0,3.0,0,0
1059,17404.0,0,13.0,1,0,0,35.0,2.0,3.0,1,0
1061,17033.0,0,19.0,1,0,0,24.0,2.0,4.0,0,0
1063,23620.0,0,25.0,0,1,1,29.0,2.0,3.0,1,0
1064,17064.0,0,6.0,1,0,0,30.0,1.0,3.0,1,0
1065,20957.0,1,10.0,0,1,1,31.0,1.0,3.0,1,0
1066,21716.0,0,10.0,1,0,0,29.0,1.0,4.0,0,0
1067,19591.0,1,17.0,0,1,1,47.0,4.0,3.0,0,0
1069,16563.0,0,6.0,1,0,0,28.0,2.0,3.0,1,0
1071,19789.0,0,33.0,0,1,1,49.0,5.0,5.0,0,0
1072,18180.0,0,8.0,1,0,0,29.0,1.0,4.0,0,0
1073,21549.0,0,35.0,0,1,1,28.0,2.0,4.0,1,0
1088,19841.0,0,29.0,1,0,0,42.0,5.0,4.0,1,0
1089,23279.0,0,8.0,0,1,1,37.0,2.0,3.0,1,0
1090,24715.0,0,14.0,0,1,1,29.0,4.0,5.0,0,0
1094,20473.0,0,15.0,0,1,1,40.0,1.0,5.0,1,0
1095,20207.0,1,34.0,0,1,1,33.0,2.0,3.0,1,0
1098,17368.0,1,14.0,0,1,1,28.0,4.0,3.0,1,0
1100,17430.0,0,34.0,1,0,0,35.0,1.0,3.0,0,0
1101,20878.0,0,11.0,0,1,1,32.0,4.0,4.0,0,0
1103,21439.0,0,22.0,0,1,1,48.0,1.0,3.0,0,0
1105,21392.0,0,14.0,0,1,1,33.0,3.0,5.0,1,0
1106,24714.0,0,6.0,0,1,1,30.0,2.0,5.0,1,1
1107,21077.0,0,16.0,0,1,1,38.0,4.0,3.0,1,0
1110,17074.0,1,8.0,1,0,0,35.0,2.0,5.0,0,1
1112,19855.0,0,10.0,0,1,1,38.0,5.0,4.0,1,1
1114,17367.0,0,21.0,1,0,0,48.0,1.0,5.0,0,0
1117,20484.0,0,6.0,0,1,1,34.0,1.0,3.0,1,0
1118,17061.0,0,9.0,1,0,0,26.0,2.0,3.0,0,0
1119,24924.0,0,20.0,0,1,1,38.0,1.0,4.0,1,0
1125,23853.0,0,8.0,0,1,1,29.0,2.0,3.0,1,0
1132,19639.0,0,17.0,0,1,1,40.0,2.0,5.0,0,0
1134,17690.0,0,13.0,1,0,0,35.0,2.0,3.0,1,0
1136,17408.0,1,30.0,1,0,0,28.0,2.0,4.0,1,1
1137,17814.0,1,32.0,1,0,0,22.0,2.0,3.0,0,0
1141,17141.0,0,13.0,1,0,0,30.0,2.0,4.0,1,0
1143,18600.0,0,23.0,0,1,1,45.0,2.0,5.0,1,0
1145,19663.0,1,6.0,0,1,1,36.0,1.0,3.0,0,0
1147,18211.0,0,31.0,1,0,0,49.0,2.0,5.0,0,0
1148,20377.0,0,16.0,0,1,1,39.0,3.0,5.0,1,0
1149,25245.0,0,25.0,1,0,0,37.0,2.0,5.0,1,0
1151,20208.0,0,33.0,0,1,1,28.0,1.0,5.0,0,0
1155,18069.0,0,9.0,0,1,1,39.0,1.0,3.0,1,0
1157,20067.0,0,14.0,0,1,1,34.0,2.0,3.0,0,0
1158,20768.0,0,25.0,0,1,1,37.0,4.0,3.0,1,0
1160,20770.0,0,8.0,0,1,1,45.0,2.0,3.0,0,0
1163,17328.0,0,16.0,1,0,0,35.0,2.0,4.0,0,0
1165,20743.0,1,6.0,0,1,1,44.0,5.0,3.0,1,0
1167,20440.0,1,21.0,0,1,1,35.0,7.0,3.0,1,1
1175,20295.0,0,18.0,0,1,1,39.0,5.0,4.0,1,0
1179,20433.0,0,9.0,0,1,1,34.0,2.0,4.0,0,0
1182,21271.0,0,11.0,0,1,1,36.0,1.0,3.0,0,0
1187,19735.0,0,29.0,0,1,1,38.0,1.0,3.0,1,0
1189,20505.0,0,8.0,0,1,1,33.0,2.0,3.0,1,0
1190,20470.0,0,8.0,0,1,1,32.0,1.0,4.0,1,0
1191,20476.0,0,11.0,0,1,1,31.0,2.0,3.0,0,0
1192,17587.0,1,22.0,1,0,0,49.0,5.0,5.0,0,0
1198,20368.0,1,22.0,0,1,1,33.0,2.0,3.0,0,0
1199,20347.0,0,32.0,0,1,1,36.0,7.0,3.0,1,0
1200,18195.0,1,6.0,1,0,0,44.0,5.0,3.0,0,0
1202,18306.0,0,10.0,1,0,0,38.0,1.0,3.0,0,0
1204,17655.0,1,13.0,1,0,0,48.0,3.0,3.0,0,1
1208,24392.0,0,11.0,0,1,1,26.0,2.0,3.0,1,0
1211,24525.0,0,6.0,0,1,1,37.0,2.0,3.0,1,0
1212,17929.0,0,25.0,1,0,0,34.0,2.0,3.0,0,0
1213,17275.0,1,13.0,1,0,0,23.0,2.0,3.0,1,1
1216,22847.0,1,8.0,0,1,1,43.0,2.0,3.0,1,0
1219,17974.0,0,15.0,1,0,0,29.0,1.0,3.0,0,0
1222,16555.0,0,28.0,1,0,0,24.0,2.0,3.0,1,1
1224,17305.0,0,23.0,1,0,0,26.0,2.0,3.0,1,0
1226,18433.0,0,16.0,1,0,0,34.0,7.0,3.0,1,0
1227,18477.0,0,8.0,1,0,0,36.0,2.0,3.0,1,0
1228,21430.0,0,10.0,0,1,1,41.0,7.0,4.0,1,0
1229,21516.0,1,14.0,0,1,1,40.0,3.0,5.0,0,0
1232,21883.0,0,33.0,0,1,1,35.0,3.0,3.0,1,0
1233,17862.0,0,22.0,1,0,0,30.0,2.0,3.0,1,0
1234,19978.0,0,8.0,0,1,1,47.0,1.0,4.0,1,0
1236,21134.0,1,19.0,0,1,1,36.0,6.0,5.0,1,1
1240,21472.0,1,6.0,0,1,1,39.0,2.0,3.0,1,0
1245,17145.0,0,16.0,1,0,0,24.0,1.0,3.0,1,0
1246,17180.0,0,14.0,1,0,0,30.0,7.0,3.0,0,1
1256,17468.0,0,8.0,1,0,0,38.0,5.0,4.0,0,0
1261,20811.0,1,24.0,0,1,1,38.0,4.0,3.0,1,0
1263,17766.0,0,18.0,1,0,0,42.0,1.0,4.0,1,0
1266,17289.0,0,15.0,1,0,0,41.0,2.0,5.0,1,0
1272,18702.0,0,12.0,1,0,0,36.0,2.0,3.0,0,0
1273,17398.0,1,14.0,1,0,0,22.0,2.0,5.0,0,1
1274,20468.0,0,35.0,0,1,1,31.0,2.0,3.0,0,0
1276,21212.0,0,15.0,0,1,1,46.0,2.0,4.0,1,0
1279,17342.0,1,6.0,1,0,0,44.0,2.0,4.0,1,1
1280,17176.0,0,14.0,0,1,1,35.0,3.0,4.0,1,0
1283,17044.0,0,6.0,1,0,0,28.0,2.0,3.0,1,0
1286,18377.0,0,8.0,1,0,0,51.0,5.0,5.0,0,0
1288,20762.0,0,8.0,0,1,1,35.0,3.0,3.0,1,0
1289,17592.0,0,8.0,1,0,0,38.0,6.0,4.0,1,0
1290,20346.0,0,15.0,0,1,1,34.0,5.0,5.0,1,1
1292,20582.0,0,26.0,0,1,1,49.0,3.0,3.0,1,0
1297,17148.0,1,26.0,1,0,0,26.0,1.0,4.0,0,1
1298,23926.0,0,27.0,0,1,1,46.0,5.0,4.0,0,1
1299,21513.0,0,6.0,0,1,1,40.0,5.0,3.0,0,0
1302,17705.0,0,29.0,1,0,0,35.0,1.0,3.0,1,0
1304,23865.0,0,34.0,0,1,1,40.0,3.0,5.0,0,0
1305,21854.0,0,13.0,0,1,1,54.0,5.0,3.0,0,0
1307,18591.0,0,6.0,1,0,0,51.0,2.0,5.0,0,0
1308,20405.0,1,8.0,0,1,1,38.0,3.0,3.0,0,0
1313,17335.0,1,19.0,1,0,0,29.0,5.0,5.0,1,1
1314,20154.0,0,8.0,0,1,1,45.0,5.0,3.0,0,0
1315,21962.0,1,8.0,0,1,1,36.0,5.0,4.0,0,0
1316,20675.0,0,8.0,0,1,1,43.0,2.0,3.0,1,0
1318,20126.0,0,26.0,1,0,0,41.0,2.0,3.0,1,0
1323,17706.0,0,6.0,1,0,0,28.0,2.0,3.0,1,0
1324,21384.0,0,35.0,0,1,1,29.0,1.0,3.0,1,0
1328,18540.0,0,29.0,0,1,1,46.0,2.0,3.0,0,0
1329,17804.0,0,12.0,1,0,0,29.0,2.0,4.0,1,0
1334,19774.0,0,7.0,1,0,0,27.0,1.0,5.0,0,0
1335,18447.0,0,25.0,0,1,1,41.0,1.0,3.0,1,0
1337,17856.0,0,9.0,1,0,0,28.0,2.0,4.0,0,0
1341,17543.0,0,26.0,0,1,1,38.0,2.0,3.0,1,0
1344,21736.0,1,20.0,0,1,1,37.0,6.0,5.0,1,0
1345,19788.0,1,16.0,0,1,1,35.0,1.0,4.0,0,0
1346,20906.0,0,31.0,0,1,1,45.0,1.0,3.0,0,0
1349,17933.0,1,6.0,1,0,0,26.0,2.0,3.0,0,0
1352,20033.0,0,6.0,0,1,1,44.0,3.0,5.0,1,0
1355,20507.0,0,23.0,0,1,1,36.0,3.0,4.0,1,0
1356,21861.0,0,29.0,0,1,1,41.0,6.0,4.0,0,0
1358,21583.0,1,16.0,0,1,1,31.0,3.0,3.0,0,0
1359,23103.0,1,9.0,0,1,1,34.0,4.0,3.0,0,0
1364,21834.0,1,6.0,0,1,1,28.0,2.0,3.0,1,0
1366,20736.0,0,27.0,0,1,1,39.0,7.0,3.0,0,0
1368,20747.0,1,28.0,0,1,1,34.0,2.0,3.0,1,0
1372,20151.0,0,15.0,0,1,1,39.0,2.0,5.0,1,0
1373,17133.0,1,14.0,0,1,1,38.0,2.0,4.0,0,0
1376,19771.0,0,7.0,1,0,0,38.0,3.0,3.0,1,0
1378,20087.0,1,18.0,0,1,1,42.0,4.0,3.0,1,0
1379,17863.0,0,28.0,1,0,0,27.0,2.0,4.0,0,1
1380,17144.0,0,24.0,0,1,1,35.0,1.0,5.0,1,0
1382,18065.0,1,9.0,1,0,0,31.0,2.0,5.0,1,0
1387,20373.0,0,6.0,0,1,1,29.0,1.0,5.0,1,0
1388,21667.0,0,21.0,0,1,1,32.0,6.0,3.0,0,0
1389,20003.0,0,6.0,0,1,1,31.0,2.0,5.0,1,0
1392,20204.0,1,13.0,0,1,1,35.0,2.0,3.0,0,0
1395,20617.0,1,32.0,0,1,1,31.0,2.0,3.0,1,1
1397,17897.0,0,15.0,0,1,1,54.0,4.0,3.0,0,0
1398,20968.0,0,13.0,0,1,1,33.0,2.0,3.0,1,0
1400,17991.0,1,6.0,1,0,0,38.0,1.0,4.0,1,0
1402,16129.0,1,8.0,1,0,0,31.0,2.0,3.0,0,0
1410,20677.0,0,8.0,0,1,1,40.0,4.0,4.0,0,0
1411,17187.0,0,8.0,1,0,0,25.0,5.0,4.0,0,0
1415,17008.0,0,6.0,1,0,0,33.0,2.0,3.0,1,0
1416,17033.0,0,16.0,0,1,1,38.0,1.0,4.0,1,0
1417,18067.0,0,8.0,1,0,0,31.0,1.0,3.0,1,0
1418,20321.0,0,12.0,0,1,1,38.0,3.0,3.0,1,0
1419,20410.0,1,24.0,0,1,1,42.0,7.0,5.0,1,0
1420,17782.0,0,6.0,1,0,0,41.0,4.0,3.0,1,0
1422,17660.0,1,17.0,1,0,0,35.0,1.0,3.0,1,0
1425,19878.0,1,28.0,0,1,1,33.0,1.0,3.0,0,0
1427,17406.0,0,6.0,1,0,0,40.0,1.0,3.0,1,0
1428,17269.0,0,6.0,1,0,0,32.0,1.0,4.0,1,0
1433,19907.0,1,14.0,0,1,1,25.0,1.0,3.0,0,0
1438,16790.0,0,15.0,1,0,0,23.0,2.0,5.0,1,1
1440,20131.0,0,10.0,0,1,1,36.0,1.0,4.0,0,0
1442,19787.0,1,12.0,1,0,0,29.0,1.0,3.0,1,1
1446,21712.0,0,34.0,0,1,1,34.0,2.0,3.0,0,0
1447,20406.0,0,21.0,0,1,1,36.0,2.0,3.0,1,0
1448,23938.0,0,9.0,0,1,1,41.0,3.0,4.0,1,0
1451,20343.0,0,16.0,0,1,1,38.0,2.0,3.0,0,0
1452,21728.0,0,6.0,0,1,1,50.0,1.0,3.0,1,1
1453,21652.0,0,17.0,0,1,1,36.0,5.0,3.0,0,0
1456,20689.0,1,24.0,0,1,1,35.0,2.0,3.0,1,0
1457,17001.0,0,8.0,1,0,0,40.0,3.0,3.0,0,0
1458,17977.0,0,6.0,1,0,0,35.0,2.0,3.0,0,0
1459,20562.0,1,19.0,0,1,1,40.0,5.0,4.0,1,0
1468,20390.0,0,8.0,0,1,1,49.0,3.0,4.0,1,0
1471,20130.0,0,14.0,0,1,1,49.0,2.0,4.0,1,0
1473,17909.0,1,9.0,1,0,0,33.0,2.0,3.0,0,0
1474,18468.0,0,8.0,1,0,0,35.0,1.0,4.0,1,0
1477,17693.0,0,30.0,1,0,0,30.0,2.0,3.0,1,0
1479,20237.0,0,33.0,0,1,1,36.0,7.0,3.0,1,0
1482,17911.0,0,32.0,1,0,0,31.0,2.0,3.0,1,0
1483,17661.0,0,25.0,1,0,0,34.0,1.0,3.0,1,0
1497,21825.0,0,14.0,0,1,1,42.0,1.0,4.0,1,0
1501,21465.0,1,16.0,0,1,1,44.0,3.0,3.0,1,0
1504,17293.0,1,6.0,1,0,0,24.0,3.0,3.0,1,1
1506,17683.0,1,9.0,1,0,0,50.0,2.0,3.0,1,1
1507,17014.0,0,8.0,1,0,0,35.0,2.0,3.0,0,0
1508,18419.0,1,11.0,1,0,0,32.0,1.0,5.0,0,0
1510,16951.0,0,10.0,1,0,0,35.0,2.0,3.0,1,0
1511,17341.0,0,8.0,1,0,0,27.0,2.0,5.0,0,0
1517,18022.0,0,25.0,1,0,0,37.0,5.0,4.0,1,0
1522,20454.0,1,6.0,0,1,1,44.0,6.0,5.0,0,0
1527,17450.0,1,29.0,1,0,0,35.0,4.0,5.0,0,0
1528,20915.0,0,13.0,0,1,1,31.0,4.0,3.0,1,0
1529,20993.0,0,6.0,0,1,1,37.0,2.0,3.0,1,0
1530,21162.0,1,6.0,0,1,1,32.0,2.0,3.0,1,0
1538,17194.0,0,6.0,1,0,0,35.0,5.0,5.0,1,0
1539,18388.0,1,15.0,1,0,0,42.0,1.0,3.0,1,1
1541,17703.0,0,8.0,1,0,0,29.0,1.0,4.0,1,0
1543,21220.0,0,6.0,0,1,1,32.0,2.0,4.0,1,0
1549,20021.0,1,11.0,0,1,1,46.0,1.0,4.0,1,0
1550,20126.0,1,6.0,0,1,1,30.0,2.0,3.0,1,0
1553,20329.0,1,12.0,0,1,1,38.0,1.0,3.0,0,0
1557,17075.0,0,15.0,1,0,0,51.0,4.0,3.0,1,0
1562,20209.0,1,10.0,0,1,1,30.0,2.0,4.0,0,0
1566,19999.0,0,9.0,0,1,1,24.0,1.0,3.0,0,0
1569,17042.0,0,29.0,0,1,1,44.0,5.0,4.0,1,0
1570,17073.0,1,12.0,1,0,0,37.0,5.0,5.0,1,1
1574,20163.0,0,8.0,0,1,1,37.0,6.0,3.0,1,0
1578,17889.0,0,13.0,1,0,0,25.0,2.0,3.0,1,0
1583,17774.0,0,24.0,1,0,0,24.0,1.0,3.0,1,0
1584,19505.0,0,7.0,0,1,1,34.0,7.0,4.0,0,0
1588,17835.0,0,9.0,1,0,0,36.0,6.0,3.0,0,0
1590,17613.0,0,29.0,1,0,0,30.0,2.0,3.0,1,0
1591,21146.0,0,28.0,0,1,1,33.0,1.0,4.0,1,0
1594,21172.0,1,12.0,0,1,1,31.0,5.0,3.0,1,1
1595,17368.0,0,12.0,1,0,0,26.0,2.0,4.0,0,0
1599,21567.0,0,26.0,0,1,1,49.0,2.0,5.0,0,0
1602,19559.0,1,30.0,0,1,1,31.0,4.0,3.0,0,1
1604,17942.0,0,31.0,1,0,0,26.0,2.0,3.0,0,0
1605,19941.0,0,12.0,0,1,1,36.0,7.0,4.0,1,0
1607,20902.0,0,10.0,0,1,1,39.0,5.0,3.0,0,0
1608,23639.0,0,34.0,0,1,1,25.0,3.0,3.0,1,0
1609,21347.0,1,15.0,0,1,1,30.0,1.0,3.0,1,0
1614,19668.0,0,19.0,0,1,1,32.0,1.0,3.0,1,0
1618,17238.0,0,15.0,1,0,0,41.0,3.0,5.0,1,0
1620,20605.0,0,32.0,0,1,1,40.0,2.0,4.0,0,0
1622,17306.0,1,12.0,0,1,1,53.0,3.0,3.0,1,0
1623,17348.0,0,15.0,0,1,1,45.0,1.0,4.0,1,0
1626,21132.0,0,13.0,0,1,1,51.0,3.0,3.0,1,0
1629,17231.0,0,8.0,1,0,0,34.0,7.0,3.0,0,0
1630,17323.0,0,25.0,1,0,0,22.0,2.0,3.0,1,0
1631,17024.0,0,15.0,1,0,0,27.0,7.0,4.0,1,0
1632,17713.0,0,27.0,1,0,0,28.0,2.0,3.0,1,0
1634,17566.0,1,9.0,1,0,0,27.0,2.0,3.0,1,0
1636,17451.0,0,20.0,1,0,0,41.0,5.0,3.0,1,0
1643,18072.0,0,15.0,0,1,1,30.0,2.0,5.0,1,0
1644,20006.0,1,10.0,0,1,1,45.0,5.0,5.0,0,0
1653,18690.0,0,6.0,1,0,0,30.0,3.0,3.0,1,0
1655,17756.0,0,20.0,1,0,0,33.0,2.0,4.0,0,0
1658,24547.0,0,8.0,0,1,1,34.0,2.0,3.0,1,0
1662,20916.0,1,29.0,0,1,1,35.0,4.0,3.0,1,1
1667,20265.0,0,27.0,0,1,1,42.0,3.0,3.0,0,0
1668,21553.0,0,8.0,0,1,1,38.0,1.0,3.0,1,0
1671,21804.0,1,24.0,0,1,1,49.0,2.0,3.0,1,0
1672,25973.0,1,16.0,1,0,0,25.0,2.0,3.0,1,0
1673,17741.0,1,25.0,0,1,1,40.0,1.0,3.0,1,0
1674,21673.0,1,35.0,0,1,1,38.0,1.0,5.0,1,1
1678,19876.0,0,15.0,0,1,1,40.0,1.0,3.0,1,0
1689,20940.0,0,9.0,0,1,1,54.0,3.0,5.0,0,0
1691,17622.0,0,10.0,1,0,0,33.0,7.0,4.0,0,0
1694,23122.0,0,11.0,0,1,1,31.0,1.0,3.0,1,0
1696,17793.0,0,10.0,1,0,0,37.0,5.0,3.0,1,0
1704,17436.0,1,20.0,1,0,0,33.0,6.0,3.0,1,1
1706,17707.0,0,8.0,1,0,0,33.0,1.0,5.0,0,1
1708,25474.0,0,10.0,1,0,0,27.0,3.0,4.0,0,0
1710,17232.0,0,6.0,1,0,0,39.0,1.0,3.0,0,0
1711,22936.0,0,6.0,0,1,1,32.0,1.0,3.0,1,0
1712,18072.0,0,25.0,0,1,1,41.0,3.0,5.0,1,0
1716,17911.0,0,11.0,1,0,0,33.0,2.0,3.0,0,0
1717,20957.0,0,8.0,0,1,1,34.0,7.0,5.0,1,0
1718,23236.0,0,6.0,1,0,0,29.0,3.0,5.0,0,0
1724,21931.0,0,26.0,0,1,1,29.0,3.0,3.0,1,0
1725,19898.0,0,17.0,0,1,1,25.0,1.0,3.0,0,0
1726,17593.0,1,8.0,1,0,0,42.0,1.0,5.0,0,0
1728,17723.0,0,6.0,1,0,0,51.0,2.0,3.0,1,0
1731,20249.0,0,8.0,0,1,1,38.0,4.0,3.0,1,0
1735,21644.0,0,8.0,0,1,1,29.0,3.0,4.0,1,0
1736,20582.0,0,29.0,0,1,1,31.0,1.0,3.0,1,0
1739,18210.0,0,12.0,1,0,0,36.0,1.0,3.0,1,0
1742,17070.0,0,15.0,1,0,0,28.0,2.0,3.0,1,0
1743,21502.0,0,12.0,0,1,1,37.0,5.0,3.0,1,0
1748,21397.0,0,6.0,0,1,1,26.0,2.0,4.0,0,0
1751,19907.0,0,6.0,0,1,1,42.0,2.0,3.0,1,0
1754,19741.0,1,19.0,0,1,1,26.0,2.0,5.0,1,0
1756,18161.0,1,30.0,1,0,0,44.0,4.0,3.0,1,1
1757,20745.0,0,29.0,0,1,1,38.0,1.0,3.0,1,0
1758,17373.0,1,22.0,1,0,0,26.0,3.0,4.0,1,1
1762,17789.0,0,11.0,1,0,0,31.0,2.0,4.0,0,0
1764,17326.0,1,15.0,1,0,0,37.0,2.0,3.0,1,0
1769,20482.0,0,8.0,0,1,1,51.0,6.0,4.0,1,0
1775,20674.0,0,30.0,0,1,1,36.0,1.0,4.0,0,0
1776,20484.0,0,13.0,0,1,1,32.0,2.0,3.0,1,0
1780,21410.0,0,8.0,0,1,1,31.0,4.0,5.0,1,0
1782,17695.0,1,8.0,1,0,0,31.0,1.0,3.0,1,0
1787,19941.0,0,14.0,0,1,1,52.0,3.0,4.0,1,1
1791,22547.0,0,13.0,0,1,1,31.0,5.0,3.0,1,0
1793,18464.0,1,8.0,1,0,0,23.0,6.0,3.0,1,1
1794,20775.0,0,34.0,0,1,1,30.0,2.0,3.0,0,0
1797,20238.0,1,9.0,0,1,1,39.0,5.0,3.0,0,1
1800,20257.0,0,16.0,0,1,1,43.0,2.0,3.0,0,0
1801,21349.0,1,6.0,0,1,1,27.0,1.0,4.0,1,0
1804,18697.0,0,14.0,0,1,1,38.0,1.0,3.0,1,0
1805,22457.0,1,6.0,0,1,1,40.0,3.0,3.0,1,0
1806,17119.0,1,14.0,1,0,0,29.0,2.0,5.0,1,1
1808,21118.0,0,11.0,0,1,1,30.0,2.0,3.0,0,0
1809,21214.0,0,14.0,0,1,1,27.0,2.0,4.0,0,0
1810,21347.0,0,11.0,0,1,1,37.0,1.0,3.0,1,0
1813,23268.0,1,16.0,0,1,1,29.0,2.0,4.0,0,0
1815,17904.0,0,32.0,1,0,0,23.0,2.0,3.0,1,0
1819,19649.0,0,22.0,0,1,1,29.0,2.0,3.0,1,0
1821,17370.0,0,8.0,1,0,0,32.0,2.0,4.0,0,0
1825,20296.0,0,6.0,0,1,1,26.0,2.0,3.0,1,0
1834,18452.0,0,16.0,1,0,0,26.0,7.0,5.0,0,0
1835,20258.0,0,13.0,0,1,1,46.0,3.0,3.0,0,0
1838,21380.0,1,28.0,0,1,1,40.0,3.0,3.0,1,1
1847,17543.0,0,8.0,1,0,0,36.0,5.0,3.0,0,0
1850,25330.0,1,28.0,0,1,1,24.0,2.0,3.0,0,0
1853,17244.0,0,17.0,1,0,0,22.0,2.0,4.0,0,0
1856,18034.0,0,20.0,1,0,0,37.0,2.0,5.0,0,0
1857,20715.0,0,8.0,0,1,1,40.0,1.0,4.0,0,0
1858,17576.0,0,6.0,1,0,0,42.0,4.0,5.0,0,0
1861,18448.0,0,8.0,0,1,1,49.0,7.0,3.0,0,0
1863,21538.0,0,10.0,0,1,1,34.0,1.0,3.0,0,0
1864,22386.0,0,7.0,0,1,1,31.0,2.0,5.0,0,0
1865,17258.0,0,27.0,1,0,0,43.0,1.0,3.0,1,0
1866,19522.0,1,14.0,0,1,1,43.0,5.0,3.0,0,0
1868,17571.0,1,8.0,0,1,1,37.0,4.0,3.0,0,0
1869,17218.0,0,6.0,1,0,0,31.0,2.0,5.0,1,0
1874,19558.0,0,10.0,0,1,1,28.0,2.0,5.0,1,0
1877,17654.0,0,16.0,1,0,0,45.0,4.0,3.0,1,0
1879,19556.0,0,9.0,0,1,1,42.0,3.0,3.0,0,0
1882,19810.0,0,7.0,0,1,1,46.0,3.0,3.0,0,0
1885,17351.0,0,12.0,1,0,0,34.0,1.0,3.0,0,1
1886,16702.0,1,8.0,1,0,0,38.0,2.0,3.0,1,0
1888,17886.0,0,29.0,1,0,0,26.0,2.0,3.0,0,0
1889,17097.0,0,9.0,1,0,0,30.0,5.0,3.0,1,0
1898,20070.0,0,8.0,0,1,1,47.0,6.0,3.0,0,0
1902,17768.0,0,8.0,1,0,0,34.0,4.0,3.0,1,0
1911,17093.0,0,11.0,1,0,0,42.0,5.0,3.0,1,0
1914,18339.0,0,8.0,0,1,1,51.0,3.0,3.0,0,0
1917,19717.0,0,8.0,0,1,1,35.0,1.0,3.0,1,0
1919,20821.0,0,14.0,1,0,0,37.0,2.0,3.0,0,0
1922,19805.0,0,33.0,0,1,1,45.0,1.0,4.0,1,0
1923,17741.0,1,23.0,1,0,0,26.0,1.0,3.0,0,1
1930,23533.0,0,12.0,0,1,1,26.0,6.0,3.0,1,0
1940,17400.0,0,30.0,1,0,0,24.0,1.0,3.0,1,0
1941,24824.0,0,16.0,0,1,1,38.0,4.0,3.0,0,0
1942,21447.0,0,6.0,0,1,1,37.0,7.0,4.0,0,0
1945,21272.0,0,34.0,0,1,1,26.0,2.0,4.0,1,0
1946,17127.0,0,23.0,1,0,0,24.0,2.0,4.0,1,0
1948,17096.0,0,19.0,1,0,0,25.0,2.0,3.0,1,0
1949,17886.0,1,13.0,1,0,0,24.0,2.0,3.0,0,1
1950,17033.0,0,18.0,1,0,0,30.0,2.0,5.0,1,1
1951,18622.0,1,6.0,1,0,0,30.0,2.0,3.0,1,0
1952,21017.0,0,7.0,0,1,1,31.0,3.0,5.0,1,1
1955,17187.0,0,12.0,1,0,0,27.0,1.0,3.0,0,0
1956,24602.0,1,8.0,0,1,1,37.0,5.0,3.0,1,0
1958,27152.0,0,8.0,0,1,1,41.0,2.0,3.0,0,0
1961,20679.0,1,15.0,0,1,1,43.0,4.0,3.0,1,0
1965,18041.0,0,8.0,1,0,0,27.0,1.0,5.0,1,1
1968,17773.0,0,12.0,1,0,0,22.0,1.0,3.0,1,0
1969,22104.0,0,14.0,0,1,1,33.0,1.0,3.0,1,0
1970,21322.0,1,15.0,0,1,1,32.0,2.0,3.0,0,0
1971,17083.0,0,9.0,1,0,0,30.0,2.0,3.0,0,0
1973,17691.0,0,6.0,1,0,0,34.0,2.0,3.0,1,0
1974,20952.0,0,7.0,0,1,1,45.0,3.0,5.0,0,1
1975,17659.0,1,12.0,1,0,0,26.0,2.0,3.0,0,0
1977,20561.0,0,9.0,0,1,1,29.0,2.0,3.0,0,0
1979,22725.0,0,12.0,0,1,1,33.0,4.0,3.0,1,0
1981,23847.0,1,15.0,0,1,1,36.0,3.0,4.0,1,0
1985,16281.0,0,9.0,1,0,0,35.0,2.0,3.0,1,0
1989,17720.0,0,6.0,1,0,0,29.0,2.0,3.0,1,0
2009,17143.0,0,14.0,1,0,0,33.0,1.0,4.0,1,0
2015,20304.0,0,33.0,0,1,1,30.0,1.0,3.0,1,0
2018,21804.0,0,21.0,0,1,1,43.0,4.0,3.0,1,0
2020,17500.0,0,15.0,1,0,0,23.0,2.0,5.0,1,0
2025,17297.0,0,16.0,1,0,0,29.0,2.0,4.0,1,0
2027,20093.0,0,8.0,0,1,1,35.0,3.0,5.0,0,0
2028,20309.0,0,30.0,0,1,1,32.0,2.0,3.0,1,0
2029,18057.0,1,8.0,1,0,0,38.0,7.0,3.0,1,0
2030,20121.0,0,14.0,0,1,1,34.0,4.0,5.0,0,0
2040,25025.0,0,26.0,1,0,0,52.0,1.0,3.0,1,0
2041,22715.0,0,6.0,1,0,0,26.0,4.0,3.0,0,0
2042,21804.0,0,9.0,0,1,1,29.0,5.0,3.0,0,0
2045,20485.0,1,25.0,0,1,1,54.0,1.0,5.0,0,0
2047,17782.0,1,16.0,1,0,0,37.0,1.0,5.0,0,0
2050,17572.0,0,14.0,1,0,0,35.0,2.0,3.0,0,0
2051,21534.0,0,6.0,1,0,0,37.0,4.0,3.0,1,0
2053,21500.0,0,14.0,0,1,1,34.0,6.0,5.0,0,0
2056,17694.0,0,15.0,1,0,0,24.0,2.0,4.0,1,0
2057,18149.0,0,17.0,0,1,1,52.0,1.0,3.0,0,0
2059,17319.0,1,6.0,1,0,0,29.0,2.0,5.0,0,1
2063,20228.0,0,6.0,0,1,1,36.0,1.0,4.0,0,0
2067,21062.0,1,6.0,0,1,1,42.0,1.0,3.0,0,0
2069,17143.0,0,19.0,1,0,0,36.0,5.0,4.0,1,0
